Distance;Altitude;Easting;Northing;Longitude;Latitude
33.6;475;2676742.84;1288954.39;8.461915;47.746665
33.9;475;2676742.89;1288954.08;8.461916;47.746662
34.2;474.1;2676742.94;1288953.78;8.461917;47.74666
34.5;474.1;2676742.99;1288953.47;8.461917;47.746657
34.8;474.1;2676743.04;1288953.16;8.461918;47.746654
35.2;474.1;2676743.09;1288952.86;8.461918;47.746651
35.5;474.1;2676743.14;1288952.55;8.461919;47.746649
35.8;474.1;2676743.19;1288952.25;8.46192;47.746646
36.1;473.3;2676743.24;1288951.94;8.46192;47.746643
36.4;473.3;2676743.29;1288951.63;8.461921;47.74664
36.7;473.3;2676743.34;1288951.33;8.461922;47.746638
37;473.3;2676743.39;1288951.02;8.461922;47.746635
37.3;473.3;2676743.45;1288950.71;8.461923;47.746632
37.6;473.3;2676743.5;1288950.41;8.461923;47.746629
37.9;473.3;2676743.55;1288950.1;8.461924;47.746627
38.3;472.5;2676743.6;1288949.8;8.461925;47.746624
38.6;472.5;2676743.65;1288949.49;8.461925;47.746621
38.9;472.5;2676743.7;1288949.18;8.461926;47.746618
39.2;472.5;2676743.75;1288948.88;8.461927;47.746615
39.5;472.5;2676743.8;1288948.57;8.461927;47.746613
39.8;472.5;2676743.85;1288948.27;8.461928;47.74661
40.1;471.8;2676743.9;1288947.96;8.461928;47.746607
40.4;471.8;2676743.95;1288947.65;8.461929;47.746604
40.7;471.7;2676744;1288947.35;8.46193;47.746602
41.1;471.7;2676744.06;1288947.04;8.46193;47.746599
41.4;471.7;2676744.11;1288946.74;8.461931;47.746596
41.7;471.7;2676744.16;1288946.43;8.461932;47.746593
42;471.7;2676744.21;1288946.12;8.461932;47.746591
42.3;470.9;2676744.26;1288945.82;8.461933;47.746588
42.6;470.9;2676744.31;1288945.51;8.461933;47.746585
42.9;470.9;2676744.36;1288945.21;8.461934;47.746582
43.2;470.9;2676744.41;1288944.9;8.461935;47.74658
43.5;470.9;2676744.46;1288944.59;8.461935;47.746577
43.8;470.9;2676744.51;1288944.29;8.461936;47.746574
44.2;470;2676744.56;1288943.98;8.461937;47.746571
44.5;470;2676744.61;1288943.68;8.461937;47.746569
44.8;470;2676744.67;1288943.37;8.461938;47.746566
45.1;470;2676744.72;1288943.06;8.461938;47.746563
45.4;470;2676744.77;1288942.76;8.461939;47.74656
45.7;470;2676744.82;1288942.45;8.46194;47.746558
46;470;2676744.87;1288942.15;8.46194;47.746555
46.3;469.3;2676744.92;1288941.84;8.461941;47.746552
46.6;469.3;2676744.97;1288941.53;8.461942;47.746549
46.9;469.3;2676745.02;1288941.23;8.461942;47.746547
47.3;469.3;2676745.07;1288940.92;8.461943;47.746544
47.6;469.3;2676745.12;1288940.62;8.461943;47.746541
47.9;469.3;2676745.17;1288940.31;8.461944;47.746538
48.2;469.3;2676745.22;1288940;8.461945;47.746535
48.5;468.7;2676745.28;1288939.7;8.461945;47.746533
48.8;468.7;2676745.33;1288939.39;8.461946;47.74653
49.1;468.7;2676745.38;1288939.09;8.461947;47.746527
49.4;468.7;2676745.43;1288938.78;8.461947;47.746524
49.7;468.7;2676745.48;1288938.47;8.461948;47.746522
50;468.7;2676745.53;1288938.17;8.461948;47.746519
50.4;468.1;2676745.58;1288937.86;8.461949;47.746516
50.7;468.1;2676745.63;1288937.56;8.46195;47.746513
51;468.1;2676745.68;1288937.25;8.46195;47.746511
51.3;468.1;2676745.73;1288936.94;8.461951;47.746508
51.6;468.1;2676745.78;1288936.64;8.461952;47.746505
51.9;468.1;2676745.83;1288936.33;8.461952;47.746502
52.2;468.1;2676745.89;1288936.02;8.461953;47.7465
52.5;467.6;2676745.94;1288935.72;8.461953;47.746497
52.8;467.6;2676745.99;1288935.41;8.461954;47.746494
53.2;467.5;2676746.04;1288935.11;8.461955;47.746491
53.5;467.5;2676746.09;1288934.8;8.461955;47.746489
53.8;467.5;2676746.14;1288934.49;8.461956;47.746486
54.1;467.5;2676746.19;1288934.19;8.461957;47.746483
54.4;467;2676746.24;1288933.88;8.461957;47.74648
54.7;467;2676746.29;1288933.58;8.461958;47.746478
